	non_symbiosis	symbiosis	MeanDecreaseAccuracy	MeanDecreaseGini
OG0010797	0.005836423	0.006338519	0.005825521	0.300748261
OG0010586	0.005148615	0.005685287	0.005363435	0.355473538
OG0007898	0.005612927	0.005603061	0.005478657	0.415109739
OG0009558	0.005189605	0.005399645	0.005116045	0.371620739
OG0008808	0.003942573	0.005328236	0.004494592	0.268569231
OG0006814	0.003974384	0.005281066	0.004560709	0.318808953
OG0006804	0.003644534	0.005030501	0.004302182	0.269030726
OG0002966	0.003528474	0.004565451	0.003924883	0.241294139
OG0000426	0.004728708	0.004549804	0.004420144	0.300767928
OG0005871	0.002931653	0.004443205	0.003570922	0.28985331
OG0000655	0.004175363	0.003650666	0.003777626	0.289837987
OG0000250	0.003657725	0.003572173	0.00353328	0.250622118
OG0001781	0.001544109	0.003509819	0.002375344	0.169057393
OG0002883	0.002719477	0.003301809	0.002951392	0.194707193
OG0010015	0.002753897	0.003275637	0.002964198	0.20396054
OG0008476	0.002599154	0.003223947	0.002821769	0.21279489
OG0010657	0.004012971	0.003145885	0.003520281	0.233771825
OG0000507	0.002169084	0.003047486	0.002461754	0.181297526
OG0010298	0.003421778	0.002850547	0.00306915	0.231357199
OG0006552	0.002848456	0.002825308	0.002706823	0.21120028
OG0010416	0.002518532	0.002689361	0.002542867	0.183757801
OG0007247	0.001661687	0.002685585	0.002092158	0.156025635
OG0008586	0.001993034	0.002624478	0.002253434	0.173221013
OG0006385	0.001907352	0.00257563	0.002144666	0.14060433
OG0006857	0.002229654	0.002570155	0.002303566	0.156435518
OG0000007	0.003402773	0.002562584	0.002891381	0.227498522
OG0001237	0.001529246	0.002533895	0.001912539	0.196261488
OG0006544	0.002154884	0.002492249	0.002256016	0.200326168
OG0000464	0.001575997	0.002452056	0.001956262	0.176903491
OG0009342	0.003374224	0.002442033	0.002867078	0.225360189
OG0010025	0.002359033	0.00244062	0.002349941	0.17196781
OG0000022	0.002879274	0.002415552	0.002548407	0.178848365
OG0010228	0.002475031	0.002402297	0.002401777	0.138603147
OG0002638	0.001173321	0.002360764	0.001780395	0.161988733
OG0009726	0.001976122	0.002346607	0.002106385	0.165100015
OG0009570	0.001728395	0.002322329	0.001985337	0.131276625
OG0000098	0.002167545	0.002308687	0.002180701	0.193047701
OG0003239	0.001655914	0.002292567	0.001854726	0.127583095
OG0010137	0.003050533	0.002262609	0.002650058	0.199134115
OG0003665	0.001696678	0.002063648	0.001741024	0.12024782
OG0002628	0.003200654	0.002061131	0.002448558	0.195306493
OG0004354	0.001651931	0.002034436	0.001802027	0.142073813
OG0019019	0.00195022	0.002011645	0.00191826	0.112507846
OG0017449	0.001446605	0.001988656	0.001641225	0.126622871
OG0000096	0.002243067	0.001949794	0.002040043	0.156428657
OG0001513	0.001441234	0.001887912	0.001632987	0.130916097
OG0010956	0.001888526	0.001872967	0.001839819	0.134529714
OG0005646	0.001051832	0.001852481	0.001432632	0.124722934
OG0005736	0.001771593	0.001805647	0.001772486	0.133823181
OG0005707	0.000955626	0.001755845	0.001257152	0.128992143
OG0008583	0.002194689	0.001623268	0.001859257	0.175320355
OG0000820	0.002082576	0.001587213	0.001624255	0.166869501
OG0001853	0.001534515	0.001559957	0.001546462	0.150476323
OG0003194	0.001511009	0.001505332	0.001480382	0.141661084
OG0008662	0.000816941	0.001495707	0.001135068	0.086302249
OG0010362	0.001775857	0.00147326	0.001574716	0.152791295
OG0008637	0.001395727	0.001461538	0.001414435	0.09623551
OG0014851	0.000955284	0.001389164	0.001173427	0.07399536
OG0009157	0.001866881	0.001374611	0.00154903	0.109524242
OG0012732	0.000549094	0.001367528	0.000773398	0.045074987
OG0005998	0.000874268	0.001354098	0.001120066	0.127474922
OG0004326	0.002404484	0.001334942	0.001812681	0.14369981
OG0017464	0.001082875	0.001311522	0.001189602	0.070571034
