observed	predict
Cephalotus_follicularis	non_symbiosis	symbiosis
Chlamydomonas_reinhardii	non_symbiosis	non_symbiosis
Isatis_tinctoria	non_symbiosis	non_symbiosis
Spirodela_polyrhiza	non_symbiosis	non_symbiosis
Lunaria_annua	non_symbiosis	non_symbiosis
Diptychocarpus_strictus	non_symbiosis	non_symbiosis
Malcolmia_maritima	non_symbiosis	non_symbiosis
Arabidopsis_thaliana	non_symbiosis	non_symbiosis
Azolla_filiculoides	non_symbiosis	non_symbiosis
Tarenaya_hassleriana	non_symbiosis	non_symbiosis
Crambe_hispanica	non_symbiosis	non_symbiosis
Brassica_rapa	non_symbiosis	non_symbiosis
Megacarpaea_delavayi	non_symbiosis	non_symbiosis
Sinapis_alba	non_symbiosis	non_symbiosis
Apostasia_shenzhenica	non_symbiosis	symbiosis
Schrenkiella_parvula	non_symbiosis	non_symbiosis
Chara_braunii	non_symbiosis	non_symbiosis
Adiantum_capillusveneris	non_symbiosis	non_symbiosis
Boechera_stricta	non_symbiosis	non_symbiosis
Arabidopsis_halleri	non_symbiosis	non_symbiosis
Capsella_grandiflora	non_symbiosis	non_symbiosis
Orychophragmus_violaceus	non_symbiosis	non_symbiosis
Klebsormidium_nitens	non_symbiosis	non_symbiosis
Spinacia_oleracea	non_symbiosis	non_symbiosis
Physcomitrella_patens	non_symbiosis	non_symbiosis
Brassica_cretica	non_symbiosis	non_symbiosis
Marchantia_polymorpha	non_symbiosis	non_symbiosis
Elaeis_guineensis	symbiosis	symbiosis
Castanea_mollissima	symbiosis	symbiosis
Cajanus_cajan	symbiosis	symbiosis
Triticum_turgidum	symbiosis	symbiosis
Solanum_pennellii	symbiosis	symbiosis
Glycine_max	symbiosis	symbiosis
Carica_papaya	symbiosis	symbiosis
Triticum_urartu	symbiosis	symbiosis
Sorghum_bicolor	symbiosis	symbiosis
Eucalyptus_grandis	symbiosis	symbiosis
Cucurbita_moschata	symbiosis	symbiosis
Lactuca_sativa	symbiosis	symbiosis
Glycine_soja	symbiosis	symbiosis
Panax_ginseng	symbiosis	symbiosis
Citrus_sinensis	symbiosis	symbiosis
Marchantia_paleacea	symbiosis	non_symbiosis
Metasequoia_glyptostroboides	symbiosis	symbiosis
Cocos_nucifera	symbiosis	symbiosis
Aegilops_tauschii	symbiosis	symbiosis
Brachypodium_distachyon	symbiosis	symbiosis
Fragaria_vesca	symbiosis	symbiosis
Prunus_persica	symbiosis	symbiosis
Ananas_comosus	symbiosis	symbiosis
Linum_usitatissimum	symbiosis	symbiosis
Eustoma_grandiflorum	symbiosis	symbiosis
Trifolium_pratense	symbiosis	symbiosis
Arachis_hypogaea	symbiosis	symbiosis
Lens_ervoides	symbiosis	symbiosis
Manihot_esculenta	symbiosis	symbiosis
Selaginella_moellendorffii	symbiosis	non_symbiosis
Phoenix_dactylifera	symbiosis	symbiosis
Musa_balbisiana	symbiosis	symbiosis
Lotus_japonicus	symbiosis	symbiosis
Cucumis_melo	symbiosis	symbiosis
Camelina_sativa_Acsn226	non_symbiosis	non_symbiosis
Camelina_sativa_Ames1043	non_symbiosis	non_symbiosis
Camelina_sativa_Borowska	non_symbiosis	non_symbiosis
Camelina_sativa_CAM116	non_symbiosis	non_symbiosis
Camelina_sativa_CAM70	non_symbiosis	non_symbiosis
Camelina_sativa_CN113611	non_symbiosis	non_symbiosis
Thlaspi_arvense	non_symbiosis	non_symbiosis
Thlaspi_arvense_var_AK34W	non_symbiosis	non_symbiosis
Thlaspi_arvense_var_Ames_32873	non_symbiosis	non_symbiosis
Thlaspi_arvense_var_LorettoMN	non_symbiosis	non_symbiosis
