	non_symbiosis	symbiosis	MeanDecreaseAccuracy	MeanDecreaseGini
OG0005701	0.006837711	0.009324476	0.007785269	0.51691243
OG0009917	0.007530201	0.006713453	0.006868115	0.392200176
OG0009020	0.005491714	0.006098754	0.005551499	0.307945992
OG0004333	0.003531076	0.005855039	0.004543171	0.302919585
OG0009575	0.003666279	0.005689277	0.004372389	0.270304712
OG0009525	0.00367376	0.004941222	0.004210493	0.293984352
OG0000727	0.00267533	0.004935118	0.003645122	0.2584002
OG0004194	0.003580789	0.004685428	0.0040914	0.316353566
OG0008453	0.003249727	0.004660109	0.003851427	0.289190642
OG0000246	0.004336552	0.00457337	0.004384358	0.271709825
OG0001820	0.003863443	0.004121938	0.003814588	0.252906166
OG0003584	0.003656816	0.00385773	0.003613982	0.244799246
OG0004922	0.002357097	0.003668065	0.002950684	0.264847585
OG0005871	0.003410328	0.003540163	0.003377433	0.180015823
OG0010120	0.002404005	0.003528005	0.002878183	0.212023874
OG0005292	0.002248634	0.003300574	0.002565075	0.179141187
OG0000359	0.00264776	0.003146232	0.00281961	0.196689296
OG0000344	0.002214603	0.002978472	0.002626513	0.229434564
OG0006432	0.001952375	0.002854453	0.002329238	0.16939169
OG0001340	0.00223683	0.002825183	0.002447363	0.170121272
OG0008433	0.002885368	0.002781691	0.002766824	0.213773979
OG0009792	0.002717532	0.002764001	0.00268975	0.169233608
OG0003926	0.002284118	0.002752012	0.002433733	0.201950861
OG0000030	0.003196489	0.002745586	0.002847928	0.262602014
OG0009760	0.002576802	0.002712013	0.002620891	0.163041911
OG0009909	0.002586282	0.002637633	0.002586042	0.150406386
OG0001813	0.002076596	0.002626722	0.002299395	0.19021585
OG0009754	0.003087839	0.00254622	0.002737447	0.186988716
OG0000013	0.003447409	0.002517073	0.003000743	0.241720341
OG0007757	0.003074627	0.002424118	0.00276431	0.220519367
OG0009293	0.001964654	0.002371889	0.002110934	0.16018882
OG0004282	0.0020563	0.00236142	0.002113498	0.181782373
OG0007681	0.001121222	0.002283502	0.001545693	0.164445871
OG0000538	0.002477106	0.002257464	0.002278321	0.194813296
OG0007686	0.002053273	0.002220139	0.002037435	0.174749918
OG0005008	0.002728549	0.002215981	0.00240646	0.165474951
OG0000188	0.003519105	0.002127891	0.002703833	0.208172112
OG0014418	0.001863681	0.002064602	0.001902116	0.133324451
OG0004832	0.000965643	0.002057522	0.001459146	0.109196234
OG0009975	0.002042591	0.002021843	0.002013818	0.135839776
OG0007720	0.001561995	0.001927854	0.001639663	0.137974458
OG0002088	0.002837662	0.001911192	0.002316562	0.204335907
OG0000833	0.001578061	0.001904071	0.001612709	0.12470888
OG0006455	0.001189373	0.001894838	0.001482819	0.141080629
OG0000086	0.00293111	0.001842618	0.00226036	0.202237286
OG0009596	0.001590652	0.001813507	0.001647174	0.144429899
OG0003248	0.000346368	0.001804604	0.001002338	0.099705913
OG0010073	0.002792366	0.001766171	0.002222612	0.162331278
OG0007628	0.001868246	0.001742691	0.001806473	0.16637004
OG0014406	0.001073271	0.001657139	0.001310851	0.066407221
OG0014444	0.0013525	0.001641431	0.001515517	0.10929152
OG0014043	0.001534525	0.001619514	0.001564068	0.097761051
OG0009453	0.001067557	0.001611951	0.001348379	0.103906091
OG0011465	0.001240717	0.001611189	0.001386236	0.104821757
OG0003367	0.001260987	0.0016055	0.001377039	0.115201991
OG0016023	0.001224603	0.001596445	0.001351959	0.12013057
OG0007390	0.001053913	0.001585787	0.001281562	0.101062977
OG0005914	0.001545625	0.001565204	0.001468661	0.123400768
OG0005081	0.001213119	0.001551064	0.001327943	0.107922269
OG0009661	0.001371143	0.001545448	0.00145337	0.095135399
OG0000480	0.001788382	0.001534278	0.001627287	0.135415501
OG0010929	0.002063277	0.001503653	0.001724272	0.121106304
OG0000460	0.002980055	0.001488856	0.002074397	0.155040095
OG0004378	0.001288256	0.001485388	0.001348536	0.10773206
OG0011847	0.001047787	0.001474364	0.001216338	0.079360892
OG0016829	0.001436131	0.001458697	0.001435624	0.089119101
OG0007525	0.00160616	0.001413568	0.001442377	0.136693729
OG0010154	0.001293071	0.001391489	0.001311011	0.125995964
OG0006400	0.001052627	0.001371695	0.001200373	0.125169139
OG0013446	0.001380391	0.001365468	0.001363972	0.100232755
OG0008077	0.000684705	0.001348526	0.000989487	0.082436129
OG0014879	0.001660046	0.001236455	0.001412846	0.084650625
OG0006421	0.001496649	0.001207199	0.001312809	0.087402774
OG0006905	0.00123658	0.001190268	0.001211013	0.080693525
OG0008117	0.001677594	0.001189574	0.001474131	0.120571107
OG0004548	0.001254062	0.001185854	0.001195131	0.093703012
OG0002122	0.001405684	0.00118206	0.001266901	0.098192441
OG0010150	0.000738889	0.001176783	0.000945668	0.083671371
OG0006738	0.00128807	0.001171645	0.001224098	0.122315738
OG0014393	0.001021501	0.001110256	0.00103892	0.061843044
OG0009398	0.000776984	0.001107576	0.00093349	0.059419705
OG0000079	0.002180411	0.001088353	0.001644999	0.140672509
OG0011407	0.00082217	0.001082945	0.000902282	0.067841652
OG0015985	0.000825928	0.001046329	0.000920313	0.05962525
OG0016001	0.000932526	0.001045455	0.000985336	0.033004241
OG0016943	0.00040348	0.001043769	0.000733069	0.044488804
OG0007386	0.000985523	0.001036251	0.000977563	0.071884862
OG0001868	0.000223214	0.001014277	0.000588303	0.022225692
OG0002410	0.001213465	0.000992235	0.001070897	0.092445096
OG0013746	0.001038421	0.000975412	0.000994844	0.050847786
OG0009232	0.000360368	0.000961218	0.000633647	0.063268477
