Sample_id	Type	Group
Cephalotus_follicularis	non_symbiosis	group1
Chlamydomonas_reinhardii	non_symbiosis	group1
Isatis_tinctoria	non_symbiosis	group1
Spirodela_polyrhiza	non_symbiosis	group1
Lunaria_annua	non_symbiosis	group1
Diptychocarpus_strictus	non_symbiosis	group1
Malcolmia_maritima	non_symbiosis	group1
Arabidopsis_thaliana	non_symbiosis	group1
Azolla_filiculoides	non_symbiosis	group1
Tarenaya_hassleriana	non_symbiosis	group1
Crambe_hispanica	non_symbiosis	group1
Brassica_rapa	non_symbiosis	group1
Megacarpaea_delavayi	non_symbiosis	group1
Sinapis_alba	non_symbiosis	group1
Apostasia_shenzhenica	non_symbiosis	group1
Schrenkiella_parvula	non_symbiosis	group1
Chara_braunii	non_symbiosis	group1
Adiantum_capillusveneris	non_symbiosis	group1
Boechera_stricta	non_symbiosis	group1
Arabidopsis_halleri	non_symbiosis	group1
Capsella_grandiflora	non_symbiosis	group1
Orychophragmus_violaceus	non_symbiosis	group1
Klebsormidium_nitens	non_symbiosis	group1
Spinacia_oleracea	non_symbiosis	group1
Physcomitrella_patens	non_symbiosis	group1
Brassica_cretica	non_symbiosis	group1
Marchantia_polymorpha	non_symbiosis	group1
Elaeis_guineensis	symbiosis	group1
Castanea_mollissima	symbiosis	group1
Cajanus_cajan	symbiosis	group1
Triticum_turgidum	symbiosis	group1
Solanum_pennellii	symbiosis	group1
Glycine_max	symbiosis	group1
Carica_papaya	symbiosis	group1
Triticum_urartu	symbiosis	group1
Sorghum_bicolor	symbiosis	group1
Eucalyptus_grandis	symbiosis	group1
Cucurbita_moschata	symbiosis	group1
Lactuca_sativa	symbiosis	group1
Glycine_soja	symbiosis	group1
Panax_ginseng	symbiosis	group1
Citrus_sinensis	symbiosis	group1
Marchantia_paleacea	symbiosis	group1
Metasequoia_glyptostroboides	symbiosis	group1
Cocos_nucifera	symbiosis	group1
Aegilops_tauschii	symbiosis	group1
Brachypodium_distachyon	symbiosis	group1
Fragaria_vesca	symbiosis	group1
Prunus_persica	symbiosis	group1
Ananas_comosus	symbiosis	group1
Linum_usitatissimum	symbiosis	group1
Eustoma_grandiflorum	symbiosis	group1
Trifolium_pratense	symbiosis	group1
Arachis_hypogaea	symbiosis	group1
Lens_ervoides	symbiosis	group1
Manihot_esculenta	symbiosis	group1
Selaginella_moellendorffii	symbiosis	group1
Phoenix_dactylifera	symbiosis	group1
Musa_balbisiana	symbiosis	group1
Lotus_japonicus	symbiosis	group1
Cucumis_melo	symbiosis	group1
Actinidia_chinensis	symbiosis	group2
Alsophila_spinulosa	non_symbiosis	group2
Amaranthus_hybridus	non_symbiosis	group2
Amborella_trichopoda	symbiosis	group2
Arabidopsis_lyrata	non_symbiosis	group2
Brassica_juncea	non_symbiosis	group2
Brassica_napus	non_symbiosis	group2
Brassica_oleracea	non_symbiosis	group2
Brassica_rapa_FPsc	non_symbiosis	group2
Capsella_rubella	non_symbiosis	group2
Capsicum_annuum	symbiosis	group2
Cardamine_enshiensis	non_symbiosis	group2
Ceratodon_purpureus	non_symbiosis	group2
Ceratopteris_richardii	non_symbiosis	group2
Chenopodium_quinoa	non_symbiosis	group2
Cicer_arietinum	symbiosis	group2
Citrullus_lanatus	symbiosis	group2
Citrus_trifoliata	symbiosis	group2
Cucumis_sativus	symbiosis	group2
Daucus_carota	symbiosis	group2
Dendrobium_catenatum	non_symbiosis	group2
Descurainia_sophioides	non_symbiosis	group2
Ectocarpus_siliculosus	non_symbiosis	group2
Eruca_vesicaria	non_symbiosis	group2
Euclidium_syriacum	non_symbiosis	group2
Eutrema_salsugineum	non_symbiosis	group2
Fagopyrum_esculentum	symbiosis	group2
Ginkgo_biloba	symbiosis	group2
Gossypium_raimondii	symbiosis	group2
Helianthus_annuus	symbiosis	group2
Hordeum_vulgare	symbiosis	group2
Iberis_amara	non_symbiosis	group2
Lens_culinaris	symbiosis	group2
Lobularia_maritima	non_symbiosis	group2
Lupinus_angustifolius	non_symbiosis	group2
Malus_domestica	symbiosis	group2
Marsilea_vestita	non_symbiosis	group2
Medicago_truncatula	symbiosis	group2
Megadenia_pygmaea	non_symbiosis	group2
Morus_notabilis	symbiosis	group2
Musa_acuminata	symbiosis	group2
Nelumbo_nucifera	non_symbiosis	group2
Nicotiana_benthamiana	symbiosis	group2
Oryza_sativa	symbiosis	group2
Phaseolus_vulgaris	symbiosis	group2
Poncirus_trifoliata	symbiosis	group2
Populus_trichocarpa	symbiosis	group2
Ricinus_communis	symbiosis	group2
Rosa_chinensis	symbiosis	group2
Salvinia_cucullata	non_symbiosis	group2
Sesamum_indicum	symbiosis	group2
Setaria_italica	symbiosis	group2
Solanum_lycopersicum	symbiosis	group2
Solanum_tuberosum	symbiosis	group2
Sphagnum_fallax	non_symbiosis	group2
Triticum_aestivum	symbiosis	group2
Vicia_faba	symbiosis	group2
Vigna_radiata	symbiosis	group2
Vitis_vinifera	symbiosis	group2
Zea_mays	symbiosis	group2
Zostera_marina	non_symbiosis	group2
Camelina_sativa_Acsn226	non_symbiosis	group1
Camelina_sativa_Ames1043	non_symbiosis	group1
Camelina_sativa_Borowska	non_symbiosis	group1
Camelina_sativa_CAM116	non_symbiosis	group1
Camelina_sativa_CAM70	non_symbiosis	group1
Camelina_sativa_CN113611	non_symbiosis	group1
Camelina_sativa_Giessen4	non_symbiosis	group2
Camelina_sativa_Joelle	non_symbiosis	group2
Camelina_sativa_Licalla	non_symbiosis	group2
Camelina_sativa_Lindo	non_symbiosis	group2
Camelina_sativa_Prytzh	non_symbiosis	group2
Camelina_sativa_Svalof	non_symbiosis	group2
Thlaspi_arvense	non_symbiosis	group1
Thlaspi_arvense_var_AK34W	non_symbiosis	group1
Thlaspi_arvense_var_Ames_32873	non_symbiosis	group1
Thlaspi_arvense_var_LorettoMN	non_symbiosis	group1
Thlaspi_arvense_var_MN106	non_symbiosis	group2
Thlaspi_arvense_var_MN134	non_symbiosis	group2
Thlaspi_arvense_var_PI650286	non_symbiosis	group2
