SampleID	Type	Group
Lapillicoccus_jejuensis	Non_Motility	group1
Metallibacterium_scheffleri	Non_Motility	group1
Pseudopontixanthobacter_sediminis	Non_Motility	group1
Acinetobacter_guillouiae_CIP_63.46	Non_Motility	group1
Microbacterium_ulmi	Non_Motility	group1
Sphingobium_cupriresistens	Non_Motility	group1
Lutibacter_agarilyticus	Non_Motility	group1
Asanoa_iriomotensis	Non_Motility	group1
Pseudofulvimonas_gallinarii	Non_Motility	group1
Prosthecochloris_vibrioformis	Non_Motility	group1
Algoriphagus_locisalis	Non_Motility	group1
Corynebacterium_coyleae	Non_Motility	group1
Furfurilactobacillus_siliginis	Non_Motility	group1
Pseudooceanicola_marinus	Non_Motility	group1
Lentzea_nigeriaca	Non_Motility	group1
Brackiella_oedipodis_DSM_13743	Non_Motility	group1
Williamsia_sterculiae	Non_Motility	group1
Streptomyces_durbertensis	Non_Motility	group1
Cypionkella_psychrotolerans	Non_Motility	group1
Roseomonas_arctica	Non_Motility	group1
Agrococcus_jejuensis	Non_Motility	group1
Aeromonas_media	Non_Motility	group1
Bifidobacterium_hapali	Non_Motility	group1
Myroides_marinus	Non_Motility	group1
Nocardia_neocaledoniensis_NBRC_108232	Non_Motility	group1
Enterococcus_thailandicus	Non_Motility	group1
Yoonia_litorea	Non_Motility	group1
Algoriphagus_chordae	Non_Motility	group1
Phocaeicola_plebeius_DSM_17135	Non_Motility	group1
Companilactobacillus_crustorum	Non_Motility	group1
Nocardia_goodfellowii	Non_Motility	group1
Ornithinimicrobium_flavum	Non_Motility	group1
Stenotrophomonas_pavanii	Non_Motility	group1
Kutzneria_buriramensis	Non_Motility	group1
Jatrophihabitans_endophyticus	Non_Motility	group1
Microbacterium_ginsengisoli	Non_Motility	group1
Lutibacter_litoralis	Non_Motility	group1
Mucilaginibacter_paludis_DSM_18603	Non_Motility	group1
Sphingobacterium_alimentarium	Non_Motility	group1
Arthrobacter_tumbae	Non_Motility	group1
Lacticaseibacillus_fabifermentans_DSM_21115	Non_Motility	group1
Halobacillus_kuroshimensis_DSM_18393	Non_Motility	group1
Nocardioides_daphniae	Non_Motility	group1
Luteimonas_padinae	Non_Motility	group1
Chthonobacter_albigriseus	Non_Motility	group1
Sphingobacterium_wenxiniae	Non_Motility	group1
Stakelama_sediminis	Non_Motility	group1
Lentzea_atacamensis	Non_Motility	group1
Nocardiopsis_valliformis_DSM_45023	Non_Motility	group1
Pseudoclavibacter_caeni	Non_Motility	group1
Jannaschia_rubra	Non_Motility	group1
Chryseobacterium_koreense	Non_Motility	group1
Paracoccus_halophilus	Non_Motility	group1
Lactobacillus_paragasseri	Non_Motility	group1
Actinomadura_barringtoniae	Non_Motility	group1
Actinomyces_gerencseriae_DSM_6844	Non_Motility	group1
Lactococcus_sp._KACC_19320	Non_Motility	group1
Bacteroides_faecichinchillae	Non_Motility	group1
Spelaeicoccus_albus	Non_Motility	group1
Cutibacterium_acnes_subsp._acnes	Non_Motility	group1
Nakamurella_sp._YIM_132087	Non_Motility	group1
Streptococcus_oralis	Non_Motility	group1
Salinimicrobium_terrae_DSM_17865	Non_Motility	group1
Micromonospora_vinacea	Non_Motility	group1
Tsukamurella_pseudospumae	Non_Motility	group1
Microbacterium_radiodurans	Non_Motility	group1
Flavihumibacter_petaseus_NBRC_106054	Non_Motility	group1
Chryseobacterium_glaciei	Non_Motility	group1
Hymenobacter_mucosus	Non_Motility	group1
Streptococcus_himalayensis	Non_Motility	group1
Ottowia_thiooxydans_DSM_14619	Non_Motility	group1
Mucilaginibacter_yixingensis	Non_Motility	group1
Lactobacillus_apis	Non_Motility	group1
Siccirubricoccus_deserti	Non_Motility	group1
Corynebacterium_spheniscorum	Non_Motility	group1
Streptomyces_odonnellii	Non_Motility	group1
Arthrobacter_cupressi	Non_Motility	group1
Bifidobacterium_aquikefiri	Non_Motility	group1
Sphingomonas_glacialis	Non_Motility	group1
Leuconostoc_palmae	Non_Motility	group1
Cohnella_panacarvi_Gsoil_349	Non_Motility	group1
Amycolatopsis_saalfeldensis	Non_Motility	group1
Mycobacterium_parmense	Non_Motility	group1
Cohnella_laeviribosi_DSM_21336	Non_Motility	group1
Nocardiopsis_aegyptia	Non_Motility	group1
Nocardia_concava_NBRC_100430	Non_Motility	group1
Enterococcus_aquimarinus	Non_Motility	group1
Maribius_pelagius	Non_Motility	group1
Limosilactobacillus_secaliphilus	Non_Motility	group1
Neobacillus_cucumis	Non_Motility	group1
Ligilactobacillus_saerimneri_DSM_16049	Non_Motility	group1
Halomonas_lutescens	Non_Motility	group1
Nocardiopsis_litoralis	Non_Motility	group1
Pseudoleptotrichia_goodfellowii_DSM_19756	Non_Motility	group1
Cocleimonas_flava	Non_Motility	group1
Pedobacter_zeae	Non_Motility	group1
Microlunatus_kandeliicorticis	Non_Motility	group1
Chryseobacterium_aquaticum	Non_Motility	group1
Maliponia_aquimaris	Non_Motility	group1
Psychrobacter_glaciei	Non_Motility	group1
Streptomyces_palmae	Non_Motility	group1
Psychroflexus_planctonicus	Non_Motility	group1
Actinophytocola_oryzae	Non_Motility	group1
Novosphingobium_colocasiae	Non_Motility	group1
Parapedobacter_composti	Non_Motility	group1
Hymenobacter_nivis	Non_Motility	group1
Lentzea_fradiae	Non_Motility	group1
Sphingobacterium_sp._CFCC_11742	Non_Motility	group1
Fastidiosipila_sanguinis	Non_Motility	group1
Kribbella_shirazensis	Non_Motility	group1
Gottfriedia_acidiceleris	Non_Motility	group1
Deinococcus_humi	Non_Motility	group1
Chelatococcus_reniformis	Non_Motility	group1
Cohnella_thermotolerans_DSM_17683	Non_Motility	group1
Sphingobacterium_chuzhouense	Non_Motility	group1
Amorphus_coralli_DSM_19760	Non_Motility	group1
Plantactinospora_endophytica	Non_Motility	group1
Limosilactobacillus_equigenerosi	Non_Motility	group1
Meiothermus_cateniformans	Non_Motility	group1
Jannaschia_donghaensis	Non_Motility	group1
Dyadobacter_alkalitolerans_DSM_23607	Non_Motility	group1
Hymenobacter_psychrotolerans_DSM_18569	Non_Motility	group1
Acinetobacter_guillouiae	Non_Motility	group1
Brooklawnia_cerclae	Non_Motility	group1
Aldersonia_kunmingensis	Non_Motility	group1
Parabacteroides_johnsonii_DSM_18315	Non_Motility	group1
Niabella_soli_DSM_19437	Non_Motility	group1
Prevotella_maculosa_DSM_19339_=_JCM_15638	Non_Motility	group1
Weizmannia_ginsengihum	Non_Motility	group1
Priestia_endophytica_DSM_13796	Non_Motility	group1
Corynebacterium_epidermidicanis	Non_Motility	group1
Roseivivax_lentus	Non_Motility	group1
Nocardioides_szechwanensis	Non_Motility	group1
Curtobacterium_ammoniigenes_NBRC_101786	Non_Motility	group1
Myroides_phaeus	Non_Motility	group1
Ectobacillus_panaciterrae_DSM_19096	Non_Motility	group1
Macellibacteroides_fermentans	Non_Motility	group1
Butyricimonas_synergistica_DSM_23225	Non_Motility	group1
Actinomyces_urogenitalis_DSM_15434	Non_Motility	group1
Corynebacterium_tuberculostearicum	Non_Motility	group1
Loigolactobacillus_iwatensis	Non_Motility	group1
Epilithonimonas_hominis	Non_Motility	group1
Arenibacter_certesii_DSM_19833	Non_Motility	group1
Streptococcus_porci_DSM_23759	Non_Motility	group1
Amycolatopsis_cihanbeyliensis	Non_Motility	group1
Sphingobacterium_bovisgrunnientis	Non_Motility	group1
Dokdonella_immobilis	Non_Motility	group1
Millisia_brevis_NBRC_105863	Non_Motility	group1
Loktanella_fryxellensis	Non_Motility	group1
Compostimonas_suwonensis	Non_Motility	group1
Micromonospora_pattaloongensis	Non_Motility	group1
Arcicella_aurantiaca	Non_Motility	group1
Paucilactobacillus_hokkaidonensis	Non_Motility	group1
Gordonia_shandongensis_DSM_45094	Non_Motility	group1
Kitasatospora_gansuensis	Non_Motility	group1
Bhargavaea_beijingensis	Non_Motility	group1
Micromonospora_phaseoli	Non_Motility	group1
Saonia_flava	Non_Motility	group1
