observed	predict
Lapillicoccus_jejuensis	Non_Motility	Non_Motility
Metallibacterium_scheffleri	Non_Motility	Non_Motility
Pseudopontixanthobacter_sediminis	Non_Motility	Motility
Acinetobacter_guillouiae_CIP_63.46	Non_Motility	Non_Motility
Microbacterium_ulmi	Non_Motility	Non_Motility
Sphingobium_cupriresistens	Non_Motility	Motility
Lutibacter_agarilyticus	Non_Motility	Non_Motility
Asanoa_iriomotensis	Non_Motility	Non_Motility
Pseudofulvimonas_gallinarii	Non_Motility	Non_Motility
Prosthecochloris_vibrioformis	Non_Motility	Non_Motility
Algoriphagus_locisalis	Non_Motility	Non_Motility
Corynebacterium_coyleae	Non_Motility	Non_Motility
Furfurilactobacillus_siliginis	Non_Motility	Non_Motility
Pseudooceanicola_marinus	Non_Motility	Motility
Lentzea_nigeriaca	Non_Motility	Non_Motility
Brackiella_oedipodis_DSM_13743	Non_Motility	Non_Motility
Williamsia_sterculiae	Non_Motility	Non_Motility
Streptomyces_durbertensis	Non_Motility	Non_Motility
Cypionkella_psychrotolerans	Non_Motility	Motility
Roseomonas_arctica	Non_Motility	Motility
Agrococcus_jejuensis	Non_Motility	Non_Motility
Aeromonas_media	Non_Motility	Motility
Bifidobacterium_hapali	Non_Motility	Non_Motility
Myroides_marinus	Non_Motility	Non_Motility
Nocardia_neocaledoniensis_NBRC_108232	Non_Motility	Non_Motility
Enterococcus_thailandicus	Non_Motility	Non_Motility
Yoonia_litorea	Non_Motility	Motility
Algoriphagus_chordae	Non_Motility	Non_Motility
Phocaeicola_plebeius_DSM_17135	Non_Motility	Non_Motility
Companilactobacillus_crustorum	Non_Motility	Non_Motility
Nocardia_goodfellowii	Non_Motility	Non_Motility
Ornithinimicrobium_flavum	Non_Motility	Non_Motility
Stenotrophomonas_pavanii	Non_Motility	Motility
Kutzneria_buriramensis	Non_Motility	Non_Motility
Jatrophihabitans_endophyticus	Non_Motility	Non_Motility
Microbacterium_ginsengisoli	Non_Motility	Non_Motility
Lutibacter_litoralis	Non_Motility	Non_Motility
Mucilaginibacter_paludis_DSM_18603	Non_Motility	Non_Motility
Sphingobacterium_alimentarium	Non_Motility	Non_Motility
Arthrobacter_tumbae	Non_Motility	Non_Motility
Lacticaseibacillus_fabifermentans_DSM_21115	Non_Motility	Non_Motility
Halobacillus_kuroshimensis_DSM_18393	Non_Motility	Motility
Nocardioides_daphniae	Non_Motility	Non_Motility
Luteimonas_padinae	Non_Motility	Non_Motility
Chthonobacter_albigriseus	Non_Motility	Motility
Sphingobacterium_wenxiniae	Non_Motility	Non_Motility
Stakelama_sediminis	Non_Motility	Motility
Lentzea_atacamensis	Non_Motility	Non_Motility
Nocardiopsis_valliformis_DSM_45023	Non_Motility	Non_Motility
Pseudoclavibacter_caeni	Non_Motility	Non_Motility
Jannaschia_rubra	Non_Motility	Motility
Chryseobacterium_koreense	Non_Motility	Non_Motility
Paracoccus_halophilus	Non_Motility	Motility
Lactobacillus_paragasseri	Non_Motility	Non_Motility
Actinomadura_barringtoniae	Non_Motility	Non_Motility
Actinomyces_gerencseriae_DSM_6844	Non_Motility	Non_Motility
Lactococcus_sp._KACC_19320	Non_Motility	Non_Motility
Bacteroides_faecichinchillae	Non_Motility	Non_Motility
Spelaeicoccus_albus	Non_Motility	Non_Motility
Cutibacterium_acnes_subsp._acnes	Non_Motility	Non_Motility
Nakamurella_sp._YIM_132087	Non_Motility	Non_Motility
Streptococcus_oralis	Non_Motility	Non_Motility
Salinimicrobium_terrae_DSM_17865	Non_Motility	Non_Motility
Micromonospora_vinacea	Non_Motility	Non_Motility
Tsukamurella_pseudospumae	Non_Motility	Non_Motility
Microbacterium_radiodurans	Non_Motility	Non_Motility
Flavihumibacter_petaseus_NBRC_106054	Non_Motility	Non_Motility
Chryseobacterium_glaciei	Non_Motility	Non_Motility
Hymenobacter_mucosus	Non_Motility	Non_Motility
Streptococcus_himalayensis	Non_Motility	Non_Motility
Ottowia_thiooxydans_DSM_14619	Non_Motility	Non_Motility
Mucilaginibacter_yixingensis	Non_Motility	Non_Motility
Lactobacillus_apis	Non_Motility	Non_Motility
Siccirubricoccus_deserti	Non_Motility	Motility
Corynebacterium_spheniscorum	Non_Motility	Non_Motility
Streptomyces_odonnellii	Non_Motility	Non_Motility
Arthrobacter_cupressi	Non_Motility	Non_Motility
Bifidobacterium_aquikefiri	Non_Motility	Non_Motility
Sphingomonas_glacialis	Non_Motility	Motility
Leuconostoc_palmae	Non_Motility	Non_Motility
Cohnella_panacarvi_Gsoil_349	Non_Motility	Motility
Amycolatopsis_saalfeldensis	Non_Motility	Non_Motility
Mycobacterium_parmense	Non_Motility	Non_Motility
Cohnella_laeviribosi_DSM_21336	Non_Motility	Motility
Nocardiopsis_aegyptia	Non_Motility	Non_Motility
Nocardia_concava_NBRC_100430	Non_Motility	Non_Motility
Enterococcus_aquimarinus	Non_Motility	Non_Motility
Maribius_pelagius	Non_Motility	Motility
Limosilactobacillus_secaliphilus	Non_Motility	Non_Motility
Neobacillus_cucumis	Non_Motility	Non_Motility
Ligilactobacillus_saerimneri_DSM_16049	Non_Motility	Non_Motility
Halomonas_lutescens	Non_Motility	Motility
Nocardiopsis_litoralis	Non_Motility	Non_Motility
Pseudoleptotrichia_goodfellowii_DSM_19756	Non_Motility	Non_Motility
Cocleimonas_flava	Non_Motility	Non_Motility
Pedobacter_zeae	Non_Motility	Non_Motility
Microlunatus_kandeliicorticis	Non_Motility	Non_Motility
Chryseobacterium_aquaticum	Non_Motility	Non_Motility
Maliponia_aquimaris	Non_Motility	Motility
Psychrobacter_glaciei	Non_Motility	Non_Motility
Streptomyces_palmae	Non_Motility	Non_Motility
Psychroflexus_planctonicus	Non_Motility	Non_Motility
Actinophytocola_oryzae	Non_Motility	Non_Motility
Novosphingobium_colocasiae	Non_Motility	Motility
Parapedobacter_composti	Non_Motility	Non_Motility
Hymenobacter_nivis	Non_Motility	Non_Motility
Lentzea_fradiae	Non_Motility	Non_Motility
Sphingobacterium_sp._CFCC_11742	Non_Motility	Non_Motility
Fastidiosipila_sanguinis	Non_Motility	Non_Motility
Kribbella_shirazensis	Non_Motility	Non_Motility
Gottfriedia_acidiceleris	Non_Motility	Non_Motility
Deinococcus_humi	Non_Motility	Non_Motility
Chelatococcus_reniformis	Non_Motility	Non_Motility
Cohnella_thermotolerans_DSM_17683	Non_Motility	Motility
Sphingobacterium_chuzhouense	Non_Motility	Non_Motility
Amorphus_coralli_DSM_19760	Non_Motility	Non_Motility
Plantactinospora_endophytica	Non_Motility	Non_Motility
Limosilactobacillus_equigenerosi	Non_Motility	Non_Motility
Meiothermus_cateniformans	Non_Motility	Non_Motility
Jannaschia_donghaensis	Non_Motility	Motility
Dyadobacter_alkalitolerans_DSM_23607	Non_Motility	Non_Motility
Hymenobacter_psychrotolerans_DSM_18569	Non_Motility	Non_Motility
Acinetobacter_guillouiae	Non_Motility	Non_Motility
Brooklawnia_cerclae	Non_Motility	Non_Motility
Aldersonia_kunmingensis	Non_Motility	Non_Motility
Parabacteroides_johnsonii_DSM_18315	Non_Motility	Non_Motility
Niabella_soli_DSM_19437	Non_Motility	Non_Motility
Weizmannia_ginsengihum	Non_Motility	Motility
Priestia_endophytica_DSM_13796	Non_Motility	Motility
Corynebacterium_epidermidicanis	Non_Motility	Non_Motility
Roseivivax_lentus	Non_Motility	Motility
Nocardioides_szechwanensis	Non_Motility	Non_Motility
Curtobacterium_ammoniigenes_NBRC_101786	Non_Motility	Motility
Myroides_phaeus	Non_Motility	Non_Motility
