	Non_spore_forming	Spore_forming	MeanDecreaseAccuracy	MeanDecreaseGini
OG0000159	0.006488766	0.011625804	0.009008312	1.863553422
OG0000145	0.001189198	0.007521469	0.004380333	1.018029899
OG0000086	0.004664464	0.007356617	0.00606736	1.260101046
OG0000113	0.003482785	0.005768919	0.004567385	1.071427794
OG0001582	0.0019702	0.004970937	0.003491717	0.894856346
OG0001404	0.002359729	0.00490083	0.003609232	0.730313892
OG0000389	0.002728188	0.004608236	0.003687644	1.124880817
OG0000065	0.001547742	0.004604445	0.003084898	0.711886028
OG0001464	0.001935132	0.004593909	0.00328136	0.710198995
OG0001625	0.003333197	0.004457096	0.003906235	1.213054248
OG0001527	0.001547965	0.004105146	0.002848701	0.725306729
OG0000012	0.001541713	0.003993085	0.002782915	0.732438978
OG0000867	0.002035091	0.003972706	0.003022918	0.605186919
OG0000763	0.001678033	0.003926161	0.002777681	0.597996457
OG0000038	0.003517917	0.003911112	0.003722709	0.8981066
OG0000283	0.001626173	0.003880026	0.00276676	0.609226291
OG0000039	0.002561347	0.003792584	0.003193804	0.713679173
OG0000361	0.001008699	0.003701182	0.002352084	0.490130255
OG0002486	0.000637605	0.003486587	0.002047787	0.495120789
OG0000169	0.002844917	0.00344415	0.003116293	0.594082227
OG0000440	0.001824722	0.003442432	0.002608661	0.642259524
OG0000053	0.002715023	0.003401254	0.003042978	0.640901486
OG0000539	0.001339864	0.003373122	0.002377899	0.600756693
OG0001365	0.001449307	0.003344301	0.00241288	0.524965568
OG0000025	0.00249352	0.003083857	0.002770036	0.566963992
OG0001165	0.001596716	0.003059605	0.002338099	0.698342672
OG0001441	0.00086593	0.002917832	0.001891569	0.509914001
OG0001279	0.000824475	0.002902227	0.001874564	0.451448533
OG0000260	0.001097606	0.002897287	0.002003904	0.475420548
OG0002297	0.000720956	0.002827098	0.001774034	0.387283599
OG0002516	0.001319852	0.002810864	0.002087747	0.456402596
OG0001495	0.000606396	0.002747098	0.001686503	0.464225153
OG0002437	0.00082711	0.002738991	0.001796788	0.456688709
OG0001120	0.000302913	0.002643107	0.001519432	0.383591946
OG0000063	0.001642918	0.002632659	0.002117166	0.714652692
OG0002498	0.000601443	0.002625892	0.001627353	0.390957905
OG0000010	0.002409558	0.002617172	0.00252557	0.801969884
OG0002416	0.000622565	0.002576502	0.001627352	0.310878752
OG0000061	7.66E-05	0.002419354	0.001262513	0.205114251
OG0000163	0.000666852	0.002166487	0.001393789	0.222551228
OG0000180	0.000530908	0.002163003	0.001379025	0.223327853
OG0000008	0.00090984	0.002161646	0.0015623	0.299907355
OG0001403	0.001514524	0.002156761	0.001795485	0.451870244
OG0000031	0.00181671	0.002125309	0.001972185	0.374289369
OG0000362	0.000685664	0.002116796	0.001430322	0.234778597
OG0000146	0.000714873	0.002081293	0.001409945	0.290408269
OG0002593	0.000593472	0.001965648	0.001291457	0.288938003
OG0001355	0.000465528	0.001965635	0.001190813	0.302171085
OG0000271	0.000697099	0.001955913	0.001339809	0.274723388
OG0000022	0.000763542	0.001900465	0.001333839	0.269743278
OG0000064	0.002060976	0.001897945	0.001963596	0.448786835
OG0000490	0.001236167	0.001852052	0.001540121	0.451505669
OG0000452	0.001924439	0.001843054	0.001879791	0.44692854
OG0000103	0.00179286	0.001779492	0.00178781	0.267981129
OG0000014	0.000261234	0.001749505	0.001004244	0.263110174
OG0000258	0.00112039	0.001743559	0.001421315	0.45325719
OG0000056	0.001434761	0.001732741	0.00159466	0.690907402
OG0001180	0.000385646	0.00167619	0.001060188	0.277048864
OG0000161	0.000857088	0.001652508	0.001258068	0.304469246
OG0000594	0.0002396	0.001633726	0.000931344	0.250880834
OG0000442	0.001615716	0.001586662	0.001578282	0.296916238
OG0002609	0.000556328	0.00156759	0.001067752	0.23523781
OG0000051	0.000462477	0.001542773	0.001025944	0.213369124
OG0000355	0.00069385	0.001526151	0.001129929	0.339861477
OG0000035	0.001520671	0.001521435	0.001494173	0.255175027
OG0001260	0.000458767	0.001503719	0.00101345	0.103754007
OG0000013	0.000670796	0.001503573	0.001102362	0.207136661
OG0000029	0.00070216	0.001490041	0.00110278	0.394587462
OG0000318	0.001034584	0.001447351	0.001253257	0.206609712
OG0000612	0.000393159	0.00143057	0.000921186	0.133254365
OG0000120	0.000778348	0.001417343	0.001095712	0.203446402
OG0000446	0.000302599	0.001410519	0.000851695	0.241513083
OG0001085	0.000523723	0.001407217	0.000966272	0.102641522
OG0000295	0.001633678	0.001403989	0.00150586	0.231372264
OG0002705	0.001326276	0.001402253	0.001382852	0.305587461
OG0000832	0.000608652	0.001401356	0.001010593	0.24728816
OG0001243	0.000374858	0.001389564	0.000895839	0.138225515
OG0001036	0.000257285	0.001366165	0.000830073	0.170494375
OG0002111	0.000263292	0.001360507	0.000797005	0.213741904
OG0001150	0.001817497	0.001332053	0.001560007	0.603469045
OG0000228	0.000670412	0.001305113	0.001004963	0.306309852
OG0001236	0.001182323	0.00130209	0.001260849	0.639580084
OG0001310	0.000351018	0.00129153	0.000815548	0.272254102
OG0000521	0.000140948	0.001281596	0.000707143	0.186831113
OG0000121	0.000634189	0.00127487	0.000958982	0.258410166
OG0001490	0.000915003	0.001267154	0.001092505	0.586301911
OG0000147	0.000531449	0.001247875	0.000881969	0.208512402
OG0001146	0.001025948	0.00124762	0.001128433	0.297798429
OG0002806	0.000872997	0.001244373	0.001066884	0.226905979
OG0000094	0.001051844	0.001243625	0.001130324	0.412235188
OG0002449	0.000923179	0.001234169	0.001075233	0.237397033
OG0000736	0.000288106	0.001232283	0.000774076	0.227948659
OG0000370	0.001021527	0.001215093	0.001117788	0.487103503
OG0000165	0.000225378	0.001188697	0.000721979	0.159383299
OG0001341	2.94E-05	0.001181396	0.000618257	0.135118795
OG0000274	0.000244879	0.001162083	0.000726337	0.106313642
OG0000059	0.000520858	0.001155906	0.000850692	0.221668768
OG0001007	0.000651248	0.001149199	0.000901054	0.182515997
OG0000324	0.000137767	0.001143672	0.000655021	0.133408401
OG0000194	0.000285472	0.001119186	0.000685624	0.150922116
OG0002742	0.000739177	0.001118764	0.000913937	0.217484463
OG0001188	0.000466333	0.001113225	0.000796694	0.223916704
OG0002763	0.001044691	0.001106399	0.001060755	0.230832398
OG0001316	-1.94E-06	0.001095281	0.000583182	0.190813371
OG0000526	0.001009269	0.00109458	0.00105772	0.188296283
OG0000199	0.000216844	0.001087266	0.000660547	0.166976185
OG0002859	0.000641261	0.001084121	0.000870689	0.231465997
OG0000110	0.000309875	0.001083191	0.000701298	0.12325094
OG0001029	0.001252971	0.001076722	0.001160668	0.476557014
OG0000002	0.000908608	0.00106289	0.000966709	0.257354122
OG0002760	0.001015403	0.001061373	0.001018215	0.216272948
OG0002738	0.000955122	0.001031053	0.000990838	0.17732091
OG0002735	0.000595224	0.001025781	0.000807904	0.202503496
OG0002529	0.000201367	0.001021299	0.000606659	0.153546045
OG0001683	0.000634613	0.001013451	0.00082624	0.317725809
OG0002469	5.19E-05	0.001012705	0.000560474	0.129723944
OG0000093	0.001393866	0.001012275	0.001183085	0.176730254
OG0002704	0.000611907	0.001001741	0.000786402	0.145851791
OG0002513	4.79E-05	0.000999232	0.000535449	0.069824674
OG0002830	0.000637163	0.00099047	0.000803653	0.164915485
OG0000041	0.00069873	0.000983319	0.000863627	0.153299369
OG0000115	0.000267533	0.000961172	0.000619369	0.123490119
OG0002622	0.000721477	0.000937266	0.000818448	0.198817079
OG0000006	0.00070203	0.000937005	0.000808041	0.170927214
OG0001047	0.001377721	0.000935716	0.001131351	0.283862505
OG0001932	0.000757801	0.000934414	0.0008458	0.194789114
OG0000572	0.001052716	0.000928021	0.000991024	0.168524431
OG0000210	0.000744171	0.000924904	0.000829633	0.195631117
OG0003211	0.001631074	0.00091266	0.001255397	0.220876787
OG0003191	9.58E-05	0.00090395	0.000502217	0.065511943
OG0000479	0.000433361	0.000902729	0.000646783	0.379270598
OG0001923	0.001076074	0.000899659	0.000992695	0.242736029
OG0002722	0.00071522	0.000899429	0.000784228	0.196657568
OG0000020	0.000395771	0.000891957	0.0006338	0.130977962
OG0001942	0.001233865	0.000885487	0.00103241	0.266811832
OG0000482	0.000244973	0.000882096	0.000569213	0.159797975
OG0001275	0.000661605	0.000880059	0.000776137	0.280210619
OG0000543	0.000921536	0.000876594	0.00090575	0.229012678
OG0001086	0.000923934	0.00087151	0.000908548	0.168566431
OG0000090	0.000166295	0.000869228	0.000525969	0.104824303
OG0002885	0.000106102	0.000845974	0.000475803	0.095160375
OG0002110	0.001540282	0.00084488	0.001182258	0.266766776
OG0000151	0.000353341	0.000844059	0.000599243	0.181748235
OG0002867	0.000247939	0.000834041	0.000534286	0.073862385
OG0000333	0.001326906	0.000833579	0.001031719	0.165601759
OG0001476	0.001878228	0.000831744	0.001319884	0.413317194
OG0000549	0.00126859	0.000818695	0.001019661	0.228895038
OG0002808	0.001000145	0.00081761	0.000908592	0.16201155
OG0001560	0.000109773	0.000805119	0.000456744	0.071805699
OG0000007	0.000399697	0.000798454	0.000608538	0.161526383
OG0000024	0.000180934	0.000795391	0.000481438	0.097639441
OG0001319	0.000325184	0.000792352	0.000548897	0.285741258
OG0002723	0.00081213	0.000784062	0.000776211	0.178614349
OG0000568	0.000178505	0.000780333	0.0004849	0.069087119
OG0002761	0.000423627	0.000779586	0.00061293	0.137589496
OG0000308	0.000954915	0.000779393	0.000855996	0.123098475
OG0000019	2.06E-05	0.000775808	0.000392893	0.078194762
OG0001247	0.000736079	0.000773422	0.000746059	0.167623718
OG0000128	0.000474954	0.000768822	0.000618255	0.152315112
OG0003911	4.86E-05	0.000763831	0.000400918	0.037510443
OG0002204	0.000262066	0.000763674	0.000502315	0.098562261
OG0002708	0.000342756	0.000760748	0.000559126	0.128261281
OG0002585	0.000401903	0.000744832	0.00057084	0.112437941
OG0002834	0.000142668	0.000744118	0.00044103	0.10313122
OG0000532	0.000451183	0.000743867	0.000573259	0.224733315
OG0000425	0.00060789	0.000743475	0.000669695	0.210727956
OG0000074	0.000494476	0.000737218	0.000604053	0.139689011
OG0000255	0.000409228	0.000725201	0.000572787	0.105689298
OG0002528	0.0002722	0.000723694	0.000506869	0.087779066
OG0000047	0.000484266	0.00071274	0.000589656	0.126659383
OG0002741	0.000908011	0.000703092	0.000791866	0.127958172
OG0002388	0.000743052	0.000694192	0.000700744	0.16658901
OG0000462	0.000181765	0.000693684	0.000426487	0.04935072
OG0000635	0.000882272	0.000685056	0.000788932	0.123819924
OG0000486	0.000115343	0.000674158	0.000390427	0.044816543
OG0001232	1.46E-05	0.000672839	0.000353577	0.074317349
OG0003247	0.000166212	0.000671893	0.000417497	0.067756086
OG0003056	0.000567352	0.000668274	0.000617588	0.187176127
OG0002177	0.000770744	0.000668148	0.000712897	0.178319309
OG0001940	0.000170247	0.000663338	0.000423816	0.096019601
OG0000300	0.000306098	0.000658789	0.000472572	0.07038046
OG0000201	0.000563778	0.000651937	0.000626745	0.09308225
OG0000600	0.000265815	0.000643716	0.000468533	0.074477737
OG0002954	2.31E-05	0.000628705	0.000329726	0.078137806
OG0002827	0.00060063	0.000627301	0.00059203	0.10765632
OG0000573	6.40E-05	0.000625909	0.000358809	0.052381082
OG0003029	0.000456998	0.000623976	0.000541252	0.15860442
OG0000118	0.00017912	0.000621395	0.000412327	0.06511935
OG0002576	0.000226386	0.000612232	0.000414773	0.098254358
OG0002425	-4.52E-06	0.000611653	0.000297143	0.048719549
OG0002150	0.000664514	0.000598306	0.000625582	0.169941013
OG0000724	-5.04E-05	0.000592534	0.000286676	0.025727901
OG0000142	0.000173404	0.000587945	0.000385855	0.089889248
OG0000000	0.000195118	0.000585098	0.000389816	0.059834519
OG0000237	0.00018933	0.000581458	0.000392016	0.073755612
OG0000026	0.000116994	0.000581426	0.00032905	0.08730895
OG0002845	0.000662939	0.000581249	0.000628866	0.096739903
OG0001349	0.000128041	0.000581246	0.000348653	0.221000146
OG0000157	0.000225734	0.000579996	0.00041728	0.125344319
OG0001861	8.70E-07	0.000574004	0.000302385	0.043937975
OG0000004	0.000277719	0.000570255	0.000422055	0.099113267
OG0003172	0.000929621	0.000567138	0.000747857	0.142342178
