observed	predict
GCF_903992535.2_mArvAmp1.2	vertebrate	vertebrate
GCF_014898765.1_PumYag	vertebrate	vertebrate
GCF_023721935.1_Puncia_PCG_1.0	vertebrate	vertebrate
GCF_022355385.1_MUSNIG.SB6536	vertebrate	vertebrate
GCF_003668045.3_CriGri__PICRH__1.0	vertebrate	vertebrate
GCF_000281125.2_ASM28112v3	vertebrate	vertebrate
GCF_000004195.3_Xenopus_tropicalis_v9.1	vertebrate	vertebrate
GCF_008728515.1_Panubis1.0	vertebrate	vertebrate
GCF_023065955.2_UrsArc2.0	vertebrate	vertebrate
GCF_000951615.1_common_carp_genome	vertebrate	vertebrate
GCF_001577835.1_Coturnix_japonica_2.0	vertebrate	vertebrate
GCF_000412655.1_ASM41265v1	vertebrate	vertebrate
GCF_000002035.5_GRCz10	vertebrate	vertebrate
GCF_010645085.2_ASM1064508v2	vertebrate	vertebrate
GCF_000747805.1_ChaPel_1.0	vertebrate	vertebrate
GCF_003339765.1_Mmul_10	vertebrate	vertebrate
GCF_000334495.1_TupChi_1.0	vertebrate	vertebrate
GCF_012274545.1_DMR_v1.0_HiC	vertebrate	vertebrate
GCF_030435805.1_mMusLut2.pri	vertebrate	vertebrate
GCF_000349705.1_LepWed1.0	vertebrate	vertebrate
GCF_004115265.2_mRhiFer1_v1.p	vertebrate	vertebrate
GCF_004785775.1_NIH_TR_1.0	vertebrate	vertebrate
GCF_001858045.1_ASM185804v2	vertebrate	vertebrate
GCF_024139225.1_mSunEtr1.pri.cur	vertebrate	vertebrate
GCF_000700745.1_ASM70074v1	vertebrate	vertebrate
GCF_950005125.1_mChiNiv1.1	vertebrate	vertebrate
GCF_002814215.1_Sedor1	vertebrate	vertebrate
GCF_004348235.1_GSC_HSeal_1.0	vertebrate	vertebrate
GCF_028885625.2_NHGRI_mPonPyg2__v2.0_pri	vertebrate	vertebrate
GCF_000188235.2_Orenil1.1	vertebrate	vertebrate
GCF_018167655.1_Mior012	vertebrate	vertebrate
GCF_013377495.1_Cygnus_atratus_primary_v1.0	vertebrate	vertebrate
GCF_006149115.1_Oner_1.0	vertebrate	vertebrate
GCF_009834535.1_BCGSAC_Cfer_1.0	vertebrate	vertebrate
GCF_014824575.3_WHU_Shon_v2.1	vertebrate	vertebrate
GCF_000298275.1_OryAfe1.0	vertebrate	vertebrate
GCF_003255815.1_Tgel_1.0	vertebrate	vertebrate
GCF_000966335.1_ASM96633v1	vertebrate	vertebrate
GCF_900094665.2_CAROLI_EIJ_v1.1	vertebrate	vertebrate
GCF_000233375.1_ICSASG_v2	vertebrate	vertebrate
GCF_000242695.1_LepOcu1	vertebrate	vertebrate
GCF_008632895.1_UCSF_Mcou_1	vertebrate	vertebrate
GCF_000151845.1_Pvam_2.0	vertebrate	vertebrate
GCF_004115215.2_mOrnAna1.pri.v4	vertebrate	vertebrate
GCF_030254825.1_Bangor_MerUng_6.1	vertebrate	vertebrate
GCF_000696425.1_G_variegatus__3.0.2	vertebrate	vertebrate
GCF_016433145.1_AgileGrace	vertebrate	vertebrate
GCF_000972845.1_L_crocea_1.0	vertebrate	vertebrate
GCF_032405125.1_serow.2	vertebrate	vertebrate
GCF_019320065.1_ASM1932006v1	vertebrate	vertebrate
GCF_000002035.4_Zv9	vertebrate	vertebrate
GCF_000241075.1_Xiphophorus_maculatus__4.4.2	vertebrate	vertebrate
GCF_000691405.1_ASM69140v1	vertebrate	vertebrate
GCF_000225785.1_LatCha1	vertebrate	vertebrate
GCF_000622305.1_S.galili_v1.0	vertebrate	vertebrate
GCF_029281585.2_NHGRI_mGorGor1__v2.0_pri	vertebrate	vertebrate
GCF_900700415.1_Ch_v2.0.2	vertebrate	vertebrate
GCF_006149115.2_Oner_1.1	vertebrate	vertebrate
GCF_010645085.1_ASM1064508v1	vertebrate	vertebrate
GCF_902713435.1_fAciRut3.1_paternal_haplotype	vertebrate	vertebrate
GCF_016881025.1_HiC_Itri_2	vertebrate	vertebrate
GCF_000002315.4_Gallus_gallus__5.0	vertebrate	vertebrate
GCF_001660625.1_IpCoco_1.2	vertebrate	vertebrate
GCF_029407905.1_PCC_UOA_SB_1v2	vertebrate	vertebrate
GCF_000146605.1_Turkey_2.01	vertebrate	vertebrate
GCF_000165045.1_Callorhinchus_milii__6.1.3	vertebrate	vertebrate
GCF_011762505.1_mArvNil1.pat.X	vertebrate	vertebrate
GCF_041146395.1_OSU_ERuf_1	vertebrate	vertebrate
GCF_900324465.1_fAnaTes1.1	vertebrate	vertebrate
GCF_000281125.3_ASM28112v4	vertebrate	vertebrate
GCF_028858775.2_NHGRI_mPanTro3__v2.0_pri	vertebrate	vertebrate
GCF_000327345.1_ASM32734v1	vertebrate	vertebrate
GCF_000721915.1_EsoLuc1.0	vertebrate	vertebrate
GCF_000355885.1_BGI_duck_1.0	vertebrate	vertebrate
GCF_017639655.1_bFalNau1.pat	vertebrate	vertebrate
GCF_000313675.1_ASM31367v1	vertebrate	vertebrate
GCF_027409185.1_mCynVol1.pri	vertebrate	vertebrate
