SampleID	Type	Group
GCF_000237085.1	Spore_forming	group1
GCF_016865425.1	Spore_forming	group1
GCF_018283645.1	Spore_forming	group1
GCF_017573505.1	Spore_forming	group1
GCF_016862015.1	Spore_forming	group1
GCF_018332715.1	Spore_forming	group1
GCF_900104725.1	Spore_forming	group1
GCF_016862135.1	Spore_forming	group1
GCF_900188005.1	Spore_forming	group1
GCF_016862395.1	Spore_forming	group1
GCF_007829915.1	Spore_forming	group1
GCF_003711105.1	Spore_forming	group1
GCF_018332695.1	Spore_forming	group1
GCF_000371785.1	Spore_forming	group1
GCF_900101095.1	Spore_forming	group1
GCF_000504285.1	Spore_forming	group1
GCF_900116805.1	Spore_forming	group1
GCF_000429725.1	Spore_forming	group1
GCF_014204945.1	Spore_forming	group1
GCF_900103775.1	Spore_forming	group1
GCF_000720955.1	Spore_forming	group1
GCF_003002095.1	Spore_forming	group1
GCF_900113025.1	Spore_forming	group1
GCF_001995215.1	Spore_forming	group1
GCF_011758745.1	Spore_forming	group1
GCF_007713715.1	Spore_forming	group1
GCF_900107045.1	Spore_forming	group1
GCF_900142215.1	Spore_forming	group1
GCF_014201465.1	Spore_forming	group1
GCF_003259935.1	Spore_forming	group1
GCF_002128425.1	Spore_forming	group1
GCF_000712615.1	Spore_forming	group1
GCF_001590835.1	Spore_forming	group1
GCF_001969855.1	Spore_forming	group1
GCF_004375095.1	Spore_forming	group1
GCF_009711125.1	Spore_forming	group1
GCF_000262045.1	Spore_forming	group1
GCF_001592005.1	Spore_forming	group1
GCF_009466385.1	Spore_forming	group1
GCF_003605405.2	Spore_forming	group1
GCF_004116955.1	Spore_forming	group1
GCF_900167165.1	Spore_forming	group1
GCF_016862595.1	Spore_forming	group1
GCF_016862635.1	Spore_forming	group1
GCF_015356825.1	Spore_forming	group1
GCF_000620125.1	Spore_forming	group1
GCF_000686705.1	Spore_forming	group1
GCF_000619945.1	Spore_forming	group1
GCF_001594005.1	Spore_forming	group1
GCF_000829465.1	Spore_forming	group1
GCF_017874835.1	Spore_forming	group1
GCF_003386205.1	Spore_forming	group1
GCF_017874075.1	Spore_forming	group1
GCF_001592105.1	Spore_forming	group1
GCF_900100785.1	Spore_forming	group1
GCF_000429345.1	Spore_forming	group1
GCF_001571065.1	Spore_forming	group1
GCF_001975785.1	Spore_forming	group1
GCF_000177235.2	Spore_forming	group1
GCF_900102215.1	Spore_forming	group1
GCF_003182485.1	Spore_forming	group1
GCF_900142145.1	Spore_forming	group1
GCF_000377765.1	Spore_forming	group1
GCF_010994085.1	Spore_forming	group1
GCF_000423105.1	Spore_forming	group1
