observed	predict
GCF_001546385.1_ASM154638v1	coccus	coccus
GCF_002243035.1_ASM224303v1	coccus	coccus
GCF_002243075.1_ASM224307v1	coccus	coccus
GCF_002243115.1_ASM224311v1	coccus	coccus
GCF_002243135.1_ASM224313v1	coccus	coccus
GCF_002243155.1_ASM224315v1	coccus	coccus
GCF_002243175.1_ASM224317v1	coccus	coccus
GCF_002243195.1_ASM224319v1	coccus	coccus
GCF_002243215.1_ASM224321v1	coccus	coccus
GCF_002243235.1_ASM224323v1	coccus	coccus
GCF_009678335.1_ASM967833v1	coccus	coccus
GCF_009679655.1_ASM967965v1	coccus	coccus
GCF_013267535.1_ASM1326753v1	coccus	coccus
GCF_001657905.1_ASM165790v1	coccus	coccus
GCF_001657915.1_ASM165791v1	coccus	coccus
GCF_003438185.1_ASM343818v1	coccus	coccus
GCF_010604095.1_ASM1060409v1	coccus	coccus
GCF_000612055.1_ASM61205v1	coccus	coccus
GCF_001070855.1_ASM107085v1	coccus	rod
GCF_001281085.1_ASM128108v1	coccus	coccus
GCF_002071825.1_ASM207182v1	coccus	coccus
GCF_003055835.1_ASM305583v1	coccus	coccus
GCF_003076295.1_ASM307629v1	coccus	coccus
GCF_003076315.1_ASM307631v1	coccus	coccus
GCF_003971445.1_ASM397144v1	coccus	coccus
GCF_003971465.1_ASM397146v1	coccus	coccus
GCF_003971485.1_ASM397148v1	coccus	coccus
GCF_004123715.1_ASM412371v1	coccus	coccus
GCF_004564055.1_ASM456405v1	coccus	coccus
GCF_012109075.1_ASM1210907v1	coccus	coccus
GCF_014191445.1_ASM1419144v1	coccus	coccus
GCF_900460345.1_52223_D01	coccus	coccus
GCF_003459285.1_ASM345928v1	coccus	coccus
GCF_003464225.1_ASM346422v1	coccus	coccus
GCF_003464345.1_ASM346434v1	coccus	coccus
GCF_003465865.1_ASM346586v1	coccus	coccus
GCF_019052355.1_ASM1905235v1	coccus	coccus
GCF_019127595.1_ASM1912759v1	coccus	coccus
GCF_019131385.1_ASM1913138v1	coccus	coccus
GCF_000719985.1_ASM71998v1	coccus	coccus
GCF_000975175.1_ASM97517v1	coccus	coccus
GCF_001020225.1_ASM102022v1	coccus	coccus
GCF_001766885.1_ASM176688v1	coccus	coccus
GCF_001831305.1_ASM183130v1	coccus	coccus
GCF_001900745.1_ASM190074v1	coccus	coccus
GCF_002091935.1_ASM209193v1	coccus	coccus
GCF_002303875.1_ASM230387v1	coccus	coccus
GCF_003388635.1_ASM338863v1	coccus	coccus
GCF_008931905.1_ASM893190v1	coccus	coccus
GCF_009495805.1_ASM949580v1	coccus	coccus
GCF_011611865.1_ASM1161186v1	coccus	coccus
GCF_015643565.1_ASM1564356v1	coccus	coccus
GCF_018587985.1_ASM1858798v1	coccus	coccus
GCF_018615075.1_ASM1861507v1	coccus	coccus
GCF_000722685.1_ASM72268v1	coccus	coccus
GCF_000722695.1_ASM72269v1	coccus	coccus
GCF_000722705.1_ASM72270v1	coccus	coccus
GCF_000722755.1_ASM72275v1	coccus	coccus
GCF_000722815.1_ASM72281v1	coccus	coccus
GCF_000722835.1_ASM72283v1	coccus	coccus
GCF_000724165.1_ASM72416v1	coccus	coccus
GCF_000960005.1_ASM96000v1	coccus	coccus
GCF_000960025.1_ASM96002v1	coccus	coccus
GCF_000960065.1_ASM96006v1	coccus	coccus
GCF_001070375.1_ASM107037v1	coccus	coccus
GCF_001070705.1_ASM107070v1	coccus	coccus
GCF_001070985.1_ASM107098v1	coccus	coccus
GCF_001074635.1_ASM107463v1	coccus	coccus
GCF_001281025.1_ASM128102v1	coccus	coccus
GCF_001546795.1_ASM154679v1	coccus	coccus
GCF_001579045.1_ASM157904v1	coccus	coccus
GCF_001579665.1_ASM157966v1	coccus	coccus
