observed	predict
GCF_000237085.1	Spore_forming	Spore_forming
GCF_016865425.1	Spore_forming	Spore_forming
GCF_018283645.1	Spore_forming	Spore_forming
GCF_017573505.1	Spore_forming	Spore_forming
GCF_016862015.1	Spore_forming	Spore_forming
GCF_018332715.1	Spore_forming	Spore_forming
GCF_900104725.1	Spore_forming	Spore_forming
GCF_016862135.1	Spore_forming	Spore_forming
GCF_900188005.1	Spore_forming	Spore_forming
GCF_016862395.1	Spore_forming	Spore_forming
GCF_007829915.1	Spore_forming	Spore_forming
GCF_003711105.1	Spore_forming	Spore_forming
GCF_018332695.1	Spore_forming	Spore_forming
GCF_000371785.1	Spore_forming	Spore_forming
GCF_900101095.1	Spore_forming	Spore_forming
GCF_000504285.1	Spore_forming	Spore_forming
GCF_900116805.1	Spore_forming	Spore_forming
GCF_000429725.1	Spore_forming	Spore_forming
GCF_014204945.1	Spore_forming	Spore_forming
GCF_900103775.1	Spore_forming	Spore_forming
GCF_000720955.1	Spore_forming	Spore_forming
GCF_003002095.1	Spore_forming	Spore_forming
GCF_900113025.1	Spore_forming	Spore_forming
GCF_001995215.1	Spore_forming	Spore_forming
GCF_011758745.1	Spore_forming	Spore_forming
GCF_007713715.1	Spore_forming	Spore_forming
GCF_900107045.1	Spore_forming	Spore_forming
GCF_900142215.1	Spore_forming	Spore_forming
GCF_014201465.1	Spore_forming	Spore_forming
GCF_003259935.1	Spore_forming	Spore_forming
GCF_002128425.1	Spore_forming	Spore_forming
GCF_000712615.1	Spore_forming	Spore_forming
GCF_001590835.1	Spore_forming	Spore_forming
GCF_001969855.1	Spore_forming	Spore_forming
GCF_004375095.1	Spore_forming	Spore_forming
GCF_009711125.1	Spore_forming	Spore_forming
GCF_000262045.1	Spore_forming	Spore_forming
GCF_001592005.1	Spore_forming	Spore_forming
GCF_009466385.1	Spore_forming	Spore_forming
GCF_003605405.2	Spore_forming	Spore_forming
GCF_004116955.1	Spore_forming	Spore_forming
GCF_900167165.1	Spore_forming	Spore_forming
GCF_016862595.1	Spore_forming	Spore_forming
GCF_016862635.1	Spore_forming	Spore_forming
GCF_015356825.1	Spore_forming	Spore_forming
GCF_000620125.1	Spore_forming	Spore_forming
GCF_000686705.1	Spore_forming	Spore_forming
GCF_000619945.1	Spore_forming	Spore_forming
GCF_001594005.1	Spore_forming	Non_spore_forming
GCF_000829465.1	Spore_forming	Spore_forming
GCF_017874835.1	Spore_forming	Spore_forming
GCF_003386205.1	Spore_forming	Spore_forming
GCF_017874075.1	Spore_forming	Spore_forming
GCF_001592105.1	Spore_forming	Spore_forming
GCF_900100785.1	Spore_forming	Spore_forming
GCF_000429345.1	Spore_forming	Spore_forming
GCF_001571065.1	Spore_forming	Non_spore_forming
GCF_001975785.1	Spore_forming	Spore_forming
GCF_000177235.2	Spore_forming	Spore_forming
GCF_900102215.1	Spore_forming	Spore_forming
GCF_003182485.1	Spore_forming	Non_spore_forming
GCF_900142145.1	Spore_forming	Spore_forming
GCF_000377765.1	Spore_forming	Spore_forming
GCF_010994085.1	Spore_forming	Spore_forming
GCF_000423105.1	Spore_forming	Spore_forming
GCF_001315085.1	Spore_forming	Spore_forming
GCF_003014555.1	Spore_forming	Spore_forming
GCF_004138525.1	Spore_forming	Spore_forming
GCF_900104185.1	Spore_forming	Spore_forming
GCF_017874135.1	Spore_forming	Spore_forming
GCF_015905325.1	Spore_forming	Spore_forming
GCF_001570545.1	Spore_forming	Spore_forming
GCF_017809215.1	Spore_forming	Spore_forming
GCF_004345255.1	Spore_forming	Spore_forming
GCF_002803845.1	Spore_forming	Spore_forming
GCF_000744225.1	Spore_forming	Spore_forming
GCF_000716545.1	Spore_forming	Spore_forming
GCF_007828865.1	Spore_forming	Spore_forming
GCF_004331465.1	Spore_forming	Spore_forming
GCF_014637345.1	Spore_forming	Spore_forming
GCF_004343255.1	Spore_forming	Spore_forming
GCF_000526995.1	Spore_forming	Spore_forming
GCF_900100955.1	Spore_forming	Spore_forming
GCF_900104175.1	Spore_forming	Spore_forming
GCF_016907955.1	Spore_forming	Spore_forming
GCF_014646255.1	Spore_forming	Spore_forming
GCF_016908465.1	Spore_forming	Spore_forming
GCF_002200835.1	Spore_forming	Spore_forming
GCF_001183605.1	Spore_forming	Spore_forming
GCF_014646155.1	Spore_forming	Spore_forming
GCF_900116235.1	Spore_forming	Spore_forming
GCF_004345705.1	Spore_forming	Spore_forming
GCF_900102685.1	Spore_forming	Spore_forming
GCF_016863495.1	Spore_forming	Spore_forming
GCF_900090225.1	Spore_forming	Spore_forming
GCF_004217615.1	Spore_forming	Spore_forming
GCF_016863535.1	Spore_forming	Spore_forming
GCF_900091555.1	Spore_forming	Spore_forming
GCF_014646315.1	Spore_forming	Spore_forming
GCF_003253475.1	Spore_forming	Spore_forming
GCF_900109115.1	Spore_forming	Spore_forming
GCF_900091575.1	Spore_forming	Spore_forming
GCF_009671205.1	Spore_forming	Spore_forming
GCF_014645775.1	Spore_forming	Spore_forming
GCF_015999265.1	Spore_forming	Spore_forming
