Orthogroup	Actinidia_chinensis	Aegilops_tauschii	Arabidopsis_thaliana	Brachypodium_distachyon	Brassica_napus	Brassica_oleracea	Brassica_rapa	Cajanus_cajan	Capsella_rubella	Capsicum_annuum	Chenopodium_quinoa	Cicer_arietinum	Citrullus_lanatus	Citrus_trifoliata	Cocos_nucifera	Cucumis_sativus	Cucurbita_moschata	Daucus_carota	Elaeis_guineensis	Eucalyptus_grandis	Eustoma_grandiflorum	Fagopyrum_esculentum	Fragaria_vesca	Glycine_soja	Helianthus_annuus	Hordeum_vulgare	Lactuca_sativa	Linum_usitatissimum	Lotus_japonicus	Manihot_esculenta	Marchantia_paleacea	Medicago_truncatula	Musa_acuminata	Musa_balbisiana	Nicotiana_benthamiana	Oryza_sativa	Panax_ginseng	Phaseolus_vulgaris	Phoenix_dactylifera	Poncirus_trifoliata	Populus_trichocarpa	Ricinus_communis	Sesamum_indicum	Setaria_italica	Solanum_lycopersicum	Solanum_pennellii	Solanum_tuberosum	Sorghum_bicolor	Trifolium_pratense	Triticum_aestivum	Triticum_turgidum	Triticum_urartu	Vigna_radiata	Vitis_vinifera	Zea_mays	Adiantum_capillusveneris	Alsophila_spinulosa	Amaranthus_hybridus	Amborella_trichopoda	Ananas_comosus	Apostasia_shenzhenica	Arabidopsis_halleri	Arabidopsis_lyrata	Arachis_hypogaea	Azolla_filiculoides	Boechera_stricta	Brassica_cretica	Brassica_juncea	Brassica_rapa_FPsc	Camelina_sativa_Acsn226	Camelina_sativa_Ames1043	Camelina_sativa_Borowska	Camelina_sativa_CAM116	Camelina_sativa_CAM70	Camelina_sativa_CN113611	Camelina_sativa_Giessen4	Camelina_sativa_Joelle	Camelina_sativa_Licalla	Camelina_sativa_Lindo	Camelina_sativa_Prytzh	Camelina_sativa_Svalof	Capsella_grandiflora	Cardamine_enshiensis	Carica_papaya	Castanea_mollissima	Cephalotus_follicularis	Ceratodon_purpureus	Ceratopteris_richardii	Chara_braunii	Chlamydomonas_reinhardii	Citrus_sinensis	Crambe_hispanica	Cucumis_melo	Dendrobium_catenatum	Descurainia_sophioides	Diptychocarpus_strictus	Ectocarpus_siliculosus	Eruca_vesicaria	Euclidium_syriacum	Eutrema_salsugineum	Ginkgo_biloba	Glycine_max	Gossypium_raimondii	Iberis_amara	Isatis_tinctoria	Klebsormidium_nitens	Lens_culinaris	Lens_ervoides	Lobularia_maritima	Lunaria_annua	Lupinus_angustifolius	Malcolmia_maritima	Malus_domestica	Marchantia_polymorpha	Marsilea_vestita	Megacarpaea_delavayi	Megadenia_pygmaea	Metasequoia_glyptostroboides	Morus_notabilis	Nelumbo_nucifera	Orychophragmus_violaceus	Physcomitrella_patens	Prunus_persica	Rosa_chinensis	Salvinia_cucullata	Schrenkiella_parvula	Selaginella_moellendorffii	Sinapis_alba	Sphagnum_fallax	Spinacia_oleracea	Spirodela_polyrhiza	Tarenaya_hassleriana	Thlaspi_arvense	Thlaspi_arvense_var_AK34W	Thlaspi_arvense_var_Ames_32873	Thlaspi_arvense_var_LorettoMN	Thlaspi_arvense_var_MN106	Thlaspi_arvense_var_MN134	Thlaspi_arvense_var_PI650286	Vicia_faba	Zostera_marina
OG0000000	17	262	59	51	1550	867	448	108	100	157	923	20	12	4	14	40	0	207	19	107	492	152	88	267	2248	10	302	23	752	201	0	415	1	3	126	31	265	428	217	164	26	23	177	9	110	68	172	23	408	58	109	71	1	37	15	3	103	21	2	6	19	71	6	3	20	16	95	12	16	7	8	5	19	13	4	4	9	6	3	3	8	7	26	7	205	805	5	57	24	26	50	275	9	256	13	24	0	619	75	9	5	67	92	707	521	0	43	7	68	83	2	22	52	0	0	20	56	20	7	10	337	6	78	16	9	19	1	2	0	96	0	2	106	12	12	13	20	18	12	63	3
OG0000001	28	380	4	52	757	440	105	765	17	236	440	73	13	12	33	36	0	340	29	98	103	1	101	288	498	15	105	0	561	231	2	124	679	21	35	178	404	1936	48	125	85	33	204	212	329	394	169	66	200	43	1	1	386	165	10	2	199	3	2	4	387	189	0	23	0	0	80	1	1	2	1	2	1	1	1	0	3	4	3	1	0	3	9	3	1084	662	0	4	3	0	15	295	18	70	31	4	0	1457	537	0	5	26	439	982	947	0	91	9	7	33	1	102	239	0	0	74	7	77	9	3	345	3	107	37	0	6	1	1	1	52	1	0	577	0	1	1	0	0	1	30	7
OG0000002	14	201	9	29	450	203	174	339	34	100	350	166	6	15	4	71	83	188	29	73	467	29	43	272	686	24	198	4	309	93	1	64	33	0	370	149	935	228	240	30	51	108	39	34	103	141	105	113	106	61	39	2	133	64	58	5	1180	33	0	13	88	79	2	14	9	3	11	6	1	2	3	4	8	4	1	1	1	2	2	2	3	12	37	100	81	281	0	21	358	11	19	296	174	196	130	2	0	305	185	9	77	4	542	870	596	44	400	0	24	1647	13	102	80	0	0	153	57	140	106	6	473	7	105	8	6	97	0	2	1	25	5	131	852	8	8	11	4	6	5	36	8
OG0000003	11	342	3	15	303	230	67	146	10	340	365	116	2	1	6	31	25	78	27	49	576	32	41	173	598	7	515	3	132	108	5	81	1	0	155	24	453	318	43	15	15	102	84	64	91	91	228	87	125	30	14	0	201	105	17	30	4992	6	0	1	85	63	0	9	0	2	0	26	0	3	6	5	9	9	6	5	5	6	8	4	7	0	50	20	106	549	13	69	0	0	9	4	33	216	19	0	0	39	1	0	26	1	171	9	6	18	39	0	27	2	12	5	151	1	0	85	81	112	80	5	669	98	47	25	2	11	3	2	6	43	5	57	1	21	22	17	19	19	17	28	1
OG0000004	23	247	200	90	392	190	213	56	230	58	155	51	3	50	15	4	2	81	15	47	19	15	80	64	206	91	150	131	191	10	0	252	6	2	79	126	47	34	15	34	17	14	18	91	69	75	90	94	246	604	347	627	46	14	16	0	0	8	23	2	5	104	113	78	0	77	55	171	86	151	143	135	175	179	141	131	148	147	136	144	150	89	79	4	51	16	0	0	0	0	29	59	2	1	87	129	0	225	145	81	3	22	37	181	367	0	17	17	43	28	7	137	40	0	0	30	33	19	5	10	125	0	36	36	0	27	0	77	0	44	0	8	130	116	119	102	109	113	109	22	21
OG0000005	0	7	0	3	313	197	69	188	45	567	620	51	4	0	0	0	9	162	8	0	4	17	15	491	458	0	497	3	145	66	6	53	0	0	9	33	170	110	80	88	27	229	35	18	59	99	250	101	198	19	22	21	272	29	0	6	1550	0	0	0	18	25	0	107	0	0	59	17	0	1	0	0	0	0	0	0	0	0	0	0	0	0	34	7	25	16	1	60	17	1	4	307	28	0	102	2	0	390	187	0	10	8	321	1037	298	5	17	1	6	1074	1	183	140	1	0	46	91	44	37	0	387	4	11	9	1	4	1	0	0	7	3	151	4407	6	5	9	8	10	9	3	1
OG0000006	29	301	4	44	650	252	281	10	67	383	222	32	3	33	7	46	8	89	15	22	15	12	76	64	347	19	543	6	164	34	0	70	25	3	144	82	267	10	57	2	15	34	29	23	149	211	119	41	46	264	60	8	193	114	90	7	0	8	40	4	15	61	11	0	7	28	66	0	55	0	0	0	2	1	0	0	0	1	1	0	0	16	42	9	64	12	0	0	32	0	23	1	31	26	2	0	2	17	1	14	0	3	32	5	11	0	9	2	21	0	6	1	41	0	0	59	18	0	12	4	103	6	42	6	1	16	0	0	0	0	9	12	5	13	13	12	12	12	13	12	6
OG0000007	38	74	43	18	98	55	49	60	39	181	177	89	25	95	5	30	29	218	6	63	106	116	258	113	234	10	163	86	313	61	0	435	11	2	49	32	83	28	7	68	46	38	40	15	89	103	183	14	252	78	54	102	33	18	3	0	0	33	0	0	0	27	48	220	0	18	27	76	47	46	42	45	69	64	47	40	49	43	38	37	45	28	36	9	127	23	1	0	0	0	51	34	5	1	46	54	0	75	66	45	0	29	45	73	112	0	86	84	24	29	29	43	84	1	0	7	13	1	34	10	44	0	136	92	0	14	0	42	0	46	0	23	49	47	43	46	48	48	49	80	0
OG0000008	24	0	101	0	247	130	95	148	98	71	2	56	27	222	0	24	20	113	0	599	0	1	149	151	205	0	176	157	162	55	54	321	0	0	48	0	134	112	0	100	101	46	0	0	33	28	100	0	162	0	0	1	151	161	0	21	40	1	17	0	0	46	35	310	0	100	50	89	48	77	75	80	105	110	96	78	81	89	76	74	84	20	52	8	287	3	131	87	0	0	76	38	25	0	64	61	0	114	93	29	101	154	94	147	252	0	69	64	17	16	15	59	222	4	5	25	63	243	45	28	33	24	151	85	2	20	2	43	52	1	0	21	40	42	35	31	35	36	37	64	0
OG0000009	44	130	8	51	40	24	22	28	12	348	60	12	19	208	36	16	14	64	83	190	30	36	48	29	75	62	39	65	20	80	16	100	74	23	49	98	87	16	38	130	36	45	31	80	57	53	146	60	76	292	244	411	18	51	42	5	15	5	20	18	8	17	16	76	0	29	32	44	22	24	29	29	31	27	24	28	24	29	24	22	23	12	15	12	107	20	5	6	0	0	88	15	15	19	17	14	1	64	30	13	43	41	93	25	131	0	30	32	17	19	13	14	112	1	5	8	19	55	26	38	29	2	94	38	0	10	2	34	0	17	9	10	16	15	15	15	14	14	16	39	6
